File	Track length	# of reference notes	# of true detected notes	# of false detected notes	Grade
chpn-p10_format0.mid	22	20	15	3	4.375	
chpn-p11_format0.mid	28	26	25	0	5.8076923076923075	
chpn-p12_format0.mid	55	54	43	15	4.287037037037037	
chpn-p13_format0.mid	145	123	115	16	5.349593495934959	
chpn-p14_format0.mid	26	25	21	2	5.0	
chpn-p15_format0.mid	268	236	230	10	5.766949152542372	
chpn-p16_format0.mid	59	58	55	8	5.396551724137931	
chpn-p17_format0.mid	151	135	122	10	5.333333333333334	
chpn-p18_format0.mid	39	36	33	1	5.513888888888889	
chpn-p1_format0.mid	26	26	25	2	5.615384615384616	
chpn-p20_format0.mid	75	49	47	0	5.795918367346939	
chpn-p21_format0.mid	103	86	83	7	5.622093023255815	
chpn-p23_format0.mid	47	44	43	3	5.715909090909091	
chpn-p24_format0.mid	117	114	85	36	3.93859649122807	
chpn-p2_format0.mid	107	82	59	16	4.109756097560975	
chpn-p3_format0.mid	48	48	40	9	4.697916666666667	
chpn-p4_format0.mid	93	67	66	4	5.776119402985074	
chpn-p5_format0.mid	29	28	27	3	5.553571428571429	
chpn-p7_format0.mid	34	24	24	0	6.0	
chpn-p8_format0.mid	84	81	78	5	5.660493827160494	
chpn-p9_format0.mid	80	70	64	5	5.392857142857142	
scale.mid	38	39	32	1	5.038461538461538	
